permno,date,ticker,Return B1S30,B7S30,B14S30,B28S30,B1S60,B7S60,B14S60,B28S60,IYW B1S30,B7S30.1,B14S30.1,B28S30.1,B1S60.1,B7S60.1,B14S60.1,B28S60.1
10025,2014-02-07,AEPI,,,,,,,,,,,,,,,,
10025,2014-07-01,AEPI,,,,,,,,,,,,,,,,
10025,2015-01-15,AEPI,,,,,,,,,,,,,,,,
10025,2015-08-13,AEPI,,,,,,,,,,,,,,,,
10025,2015-12-04,AEPI,,,,,,,,,,,,,,,,
10025,2016-03-01,AEPI,,,,,,,,,,,,,,,,
10025,2016-03-16,AEPI,,,,,,,,,,,,,,,,
10025,2016-04-05,AEPI,,,,,,,,,,,,,,,,
10025,2016-09-16,AEPI,,,,,,,,,,,,,,,,
10025,2016-09-22,AEPI,,,,,,,,,,,,,,,,
10025,2016-10-12,AEPI,,,,,,,,,,,,,,,,
10025,2016-11-01,AEPI,,,,,,,,,,,,,,,,
10051,2007-12-07,HGR,,,,,,,,,,,,,,,,
10051,2008-02-06,HGR,,,,,,,,,,,,,,,,
10051,2008-09-04,HGR,,,,,,,,,,,,,,,,
10051,2009-06-05,HGR,,,,,,,,,,,,,,,,
10051,2009-10-16,HGR,,,,,,,,,,,,,,,,
10051,2010-07-01,HGR,,,,,,,,,,,,,,,,
10051,2010-09-29,HGR,,,,,,,,,,,,,,,,
10051,2010-10-20,HGR,,,,,,,,,,,,,,,,
10051,2010-11-09,HGR,,,,,,,,,,,,,,,,
10051,2011-04-21,HGR,,,,,,,,,,,,,,,,
10051,2011-05-26,HGR,,,,,,,,,,,,,,,,
10051,2011-07-28,HGR,,,,,,,,,,,,,,,,
10051,2013-01-30,HGR,,,,,,,,,,,,,,,,
10051,2013-06-13,HGR,,,,,,,,,,,,,,,,
10051,2013-10-11,HGR,,,,,,,,,,,,,,,,
10051,2013-12-19,HGR,,,,,,,,,,,,,,,,
10051,2014-01-10,HGR,,,,,,,,,,,,,,,,
10051,2014-02-05,HGR,,,,,,,,,,,,,,,,
10051,2014-02-06,HGR,,,,,,,,,,,,,,,,
10051,2014-02-25,HGR,,,,,,,,,,,,,,,,
10051,2014-02-27,HGR,,,,,,,,,,,,,,,,
10051,2014-05-23,HGR,,,,,,,,,,,,,,,,
10051,2014-06-18,HGR,,,,,,,,,,,,,,,,
10051,2014-07-08,HGR,,,,,,,,,,,,,,,,
10051,2015-06-17,HGR,,,,,,,,,,,,,,,,
10051,2015-09-16,HGR,,,,,,,,,,,,,,,,
10051,2015-09-28,HGR,,,,,,,,,,,,,,,,
10051,2015-09-30,HGR,,,,,,,,,,,,,,,,
10051,2015-10-20,HGR,,,,,,,,,,,,,,,,
10051,2015-12-08,HGR,,,,,,,,,,,,,,,,
10051,2015-12-22,HGR,,,,,,,,,,,,,,,,
10051,2016-01-13,HGR,,,,,,,,,,,,,,,,
10051,2016-02-03,HGR,,,,,,,,,,,,,,,,
10051,2016-02-23,HGR,,,,,,,,,,,,,,,,
10051,2016-10-05,HGR,,,,,,,,,,,,,,,,
10051,2017-01-26,HGR,,,,,,,,,,,,,,,,
10051,2017-12-28,HGR,,,,,,,,,,,,,,,,
10051,2018-07-05,HGR,,,,,,,,,,,,,,,,
10051,2018-07-31,HGR,,,,,,,,,,,,,,,,
10051,2018-11-22,HNGR,,,,,,,,,,,,,,,,
10051,2018-12-14,HNGR,,,,,,,,,,,,,,,,
10051,2019-04-19,HNGR,,,,,,,,,,,,,,,,
10051,2019-06-11,HNGR,,,,,,,,,,,,,,,,
10051,2019-07-02,HNGR,,,,,,,,,,,,,,,,
10051,2019-07-23,HNGR,,,,,,,,,,,,,,,,
10051,2019-10-24,HNGR,,,,,,,,,,,,,,,,
10051,2019-12-11,HNGR,,,,,,,,,,,,,,,,
10051,2020-03-10,HNGR,,,,,,,,,,,,,,,,
10051,2020-03-26,HNGR,,,,,,,,,,,,,,,,
10051,2020-04-15,HNGR,,,,,,,,,,,,,,,,
10051,2020-05-05,HNGR,,,,,,,,,,,,,,,,
10051,2020-06-25,HNGR,,,,,,,,,,,,,,,,
10051,2020-07-15,HNGR,,,,,,,,,,,,,,,,
10051,2020-08-04,HNGR,,,,,,,,,,,,,,,,
10051,2021-03-16,HNGR,,,,,,,,,,,,,,,,
10051,2021-04-16,HNGR,,,,,,,,,,,,,,,,
10051,2021-06-15,HNGR,,,,,,,,,,,,,,,,
10051,2021-06-23,HNGR,,,,,,,,,,,,,,,,
10051,2021-07-13,HNGR,,,,,,,,,,,,,,,,
10051,2021-07-15,HNGR,,,,,,,,,,,,,,,,
10051,2021-08-04,HNGR,,,,,,,,,,,,,,,,
10051,2021-08-24,HNGR,,,,,,,,,,,,,,,,
10078,2005-08-19,SUNW,,,,,,,,,,,,,,,,
10078,2006-02-01,SUNW,,,,,,,,,,,,,,,,
10078,2006-03-08,SUNW,,,,,,,,,,,,,,,,
10078,2006-05-04,SUNW,,,,,,,,,,,,,,,,
10078,2006-06-30,SUNW,,,,,,,,,,,,,,,,
10078,2006-10-18,SUNW,,,,,,,,,,,,,,,,
10078,2006-11-17,SUNW,,,,,,,,,,,,,,,,
10078,2006-11-22,SUNW,,,,,,,,,,,,,,,,
10078,2006-12-06,SUNW,,,,,,,,,,,,,,,,
10078,2006-12-29,SUNW,,,,,,,,,,,,,,,,
10078,2007-01-23,SUNW,,,,,,,,,,,,,,,,
10078,2007-02-22,SUNW,,,,,,,,,,,,,,,,
10078,2007-03-13,SUNW,,,,,,,,,,,,,,,,
10078,2007-07-05,SUNW,,,,,,,,,,,,,,,,
10078,2007-08-02,SUNW,,,,,,,,,,,,,,,,
10078,2007-09-27,JAVA,,,,,,,,,,,,,,,,
10078,2008-01-03,JAVA,,,,,,,,,,,,,,,,
10078,2008-05-15,JAVA,,,,,,,,,,,,,,,,
10078,2008-05-22,JAVA,,,,,,,,,,,,,,,,
10078,2008-06-12,JAVA,,,,,,,,,,,,,,,,
10078,2008-07-03,JAVA,,,,,,,,,,,,,,,,
10078,2008-07-24,JAVA,,,,,,,,,,,,,,,,
10078,2008-09-18,JAVA,,,,,,,,,,,,,,,,
10078,2009-01-08,JAVA,,,,,,,,,,,,,,,,
10078,2009-09-03,JAVA,,,,,,,,,,,,,,,,
10078,2009-09-04,JAVA,,,,,,,,,,,,,,,,
10078,2009-09-08,JAVA,,,,,,,,,,,,,,,,
10078,2009-09-10,JAVA,,,,,,,,,,,,,,,,
10078,2009-09-11,JAVA,,,,,,,,,,,,,,,,
10078,2009-09-18,JAVA,,,,,,,,,,,,,,,,
10078,2009-09-21,JAVA,,,,,,,,,,,,,,,,
10078,2009-09-28,JAVA,,,,,,,,,,,,,,,,
10078,2009-09-30,JAVA,,,,,,,,,,,,,,,,
10078,2009-10-01,JAVA,,,,,,,,,,,,,,,,
10078,2009-11-20,JAVA,,,,,,,,,,,,,,,,
10078,2009-11-24,JAVA,,,,,,,,,,,,,,,,
10078,2009-12-01,JAVA,,,,,,,,,,,,,,,,
10078,2009-12-03,JAVA,,,,,,,,,,,,,,,,
10078,2009-12-08,JAVA,,,,,,,,,,,,,,,,
10078,2009-12-16,JAVA,,,,,,,,,,,,,,,,
10078,2009-12-23,JAVA,,,,,,,,,,,,,,,,
10078,2009-12-30,JAVA,,,,,,,,,,,,,,,,
10078,2010-01-05,JAVA,,,,,,,,,,,,,,,,
10078,2010-01-06,JAVA,,,,,,,,,,,,,,,,
10078,2010-01-12,JAVA,,,,,,,,,,,,,,,,
10078,2010-01-19,JAVA,,,,,,,,,,,,,,,,
