permno,date,ticker,Return B1S30,B7S30,B14S30,B28S30,B1S60,B7S60,B14S60,B28S60,IYW B1S30,B7S30.1,B14S30.1,B28S30.1,B1S60.1,B7S60.1,B14S60.1,B28S60.1,IYW B1S60,IYW B7S30,IYW B7S60,IYW B14S30,IYW B14S60,IYW B28S30,IYW B28S60,Return B1S60,Return B7S30,Return B7S60,Return B14S30,Return B14S60,Return B28S30,Return B28S60
10025,2014-02-07,AEPI,,,,,,,,,0.03656174901502956,,,,,,,,0.021586396449391757,-0.00033175025884490993,-0.019481646862889477,0.008194552427045547,-0.001643517879027649,-0.02539362991421429,-0.0027970546878137905,,,,,,,
10025,2014-07-01,AEPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,2015-01-15,AEPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,2015-08-13,AEPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,2015-12-04,AEPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,2016-03-01,AEPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,2016-03-16,AEPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,2016-04-05,AEPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,2016-09-16,AEPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,2016-09-22,AEPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,2016-10-12,AEPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,2016-11-01,AEPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2007-12-07,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2008-02-06,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2008-09-04,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2009-06-05,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2009-10-16,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2010-07-01,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2010-09-29,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2010-10-20,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2010-11-09,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2011-04-21,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2011-05-26,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2011-07-28,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2013-01-30,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2013-06-13,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2013-10-11,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2013-12-19,HGR,,,,,,,,,0.03437100837975382,,,,,,,,0.04917944608367941,-0.00907690033613831,0.029611727717813827,-0.00685502472043225,0.031417427241939064,0.008810284824253658,0.008475611751137806,,,,,,,
10051,2014-01-10,HGR,,,,,,,,,0.01486513317831828,,,,,,,,0.048743502294139394,0.01921796216149053,0.016295994377184302,0.03904301763383656,0.04236316867039096,0.04188576412010412,0.016762988831043043,,,,,,,
10051,2014-02-05,HGR,,,,,,,,,0.05847634501226856,,,,,,,,0.03159778843407682,0.007165161324923425,-0.006967337883829205,0.018729720231738863,-0.0008687359937217337,0.000940253255503916,-0.007249887850180478,,,,,,,
10051,2014-02-06,HGR,,,,,,,,,0.04188576412010412,,,,,,,,0.016762988831043043,-0.009974946428274517,-0.016872785489964837,0.007061093306390041,-0.005387987985242147,-0.022750948892462465,-0.0074657938480364285,,,,,,,
10051,2014-02-25,HGR,,,,,,,,,-0.007274218676310123,,,,,,,,-0.005835403454236079,0.01034465267228271,-0.009455020499335104,0.004340511210300883,-0.012075734926845393,-0.02262314600103523,0.016284296553113416,,,,,,,
10051,2014-02-27,HGR,,,,,,,,,0.003679175261263443,,,,,,,,-0.009988363187001754,-0.022750948892462465,-0.0074657938480364285,-0.022725949439624533,0.01650788778266136,-0.006020637710222367,0.04861169605410003,,,,,,,
10051,2014-05-23,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2014-06-18,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2014-07-08,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2015-06-17,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2015-09-16,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2015-09-28,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2015-09-30,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2015-10-20,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2015-12-08,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2015-12-22,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2016-01-13,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2016-02-03,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2016-02-23,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2016-10-05,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2017-01-26,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2017-12-28,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2018-07-05,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2018-07-31,HGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2018-11-22,HNGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2018-12-14,HNGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2019-04-19,HNGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2019-06-11,HNGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2019-07-02,HNGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2019-07-23,HNGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2019-10-24,HNGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,2019-12-11,HNGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
