permno,date,ticker,Return B1S30,B7S30,B14S30,B28S30,B1S60,B7S60,B14S60,B28S60,IYW B1S30,B7S30.1,B14S30.1,B28S30.1,B1S60.1,B7S60.1,B14S60.1,B28S60.1
10104,2009-03-10,ORCL,,,,,,,,,,,,,,,,
10104,2009-03-11,ORCL,,,,,,,,,,,,,,,,
10104,2009-03-12,ORCL,,,,,,,,,,,,,,,,
10104,2009-03-13,ORCL,,,,,,,,,,,,,,,,
10104,2009-03-17,ORCL,,,,,,,,,,,,,,,,
10104,2009-03-18,ORCL,,,,,,,,,,,,,,,,
10104,2009-03-19,ORCL,,,,,,,,,,,,,,,,
10104,2009-03-20,ORCL,,,,,,,,,,,,,,,,
10104,2009-03-23,ORCL,,,,,,,,,,,,,,,,
10104,2009-03-26,ORCL,,,,,,,,,,,,,,,,
10104,2009-03-30,ORCL,,,,,,,,,,,,,,,,
10104,2009-03-31,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-01,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-02,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-03,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-04,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-06,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-07,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-09,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-10,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-13,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-14,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-15,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-16,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-17,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-20,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-21,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-22,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-23,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-24,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-27,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-28,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-29,ORCL,,,,,,,,,,,,,,,,
10104,2009-04-30,ORCL,,,,,,,,,,,,,,,,
10104,2009-05-04,ORCL,,,,,,,,,,,,,,,,
10104,2009-05-05,ORCL,,,,,,,,,,,,,,,,
10104,2009-05-07,ORCL,,,,,,,,,,,,,,,,
10104,2009-05-08,ORCL,,,,,,,,,,,,,,,,
10104,2009-05-12,ORCL,,,,,,,,,,,,,,,,
10104,2009-05-14,ORCL,,,,,,,,,,,,,,,,
10104,2009-05-15,ORCL,,,,,,,,,,,,,,,,
10104,2009-05-18,ORCL,,,,,,,,,,,,,,,,
10104,2009-05-19,ORCL,,,,,,,,,,,,,,,,
